,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100
SIDM00457,1.22942,-0.64065,2.08368,0.74792,-1.81583,-0.34014,-0.50316,-0.10894,0.05243,-4.7035,0.2319,-0.11869,1.14181,-0.31181,0.07597,-1.33588,0.26251,0.16957,0.24643,-2.20493,0.32375,-0.11593,-0.00577,-0.38596,-0.19051,0.31467,0.74243,-2.72202,-0.06553,0.26683,0.40855,-1.08047,-0.05464,0.29186,-0.05116,0.04701,0.07768,-0.27982,-0.96453,1.57942,0.05169,0.14462,-0.38947,1.22178,-0.13089,-0.51358,-0.07074,0.28749,-0.08682,-0.38623,0.26866,-0.07338,-0.05323,-0.13021,-0.10552,-0.77584,0.11745,0.04728,0.02856,-0.02857,-0.07977,0.36418,-0.3622,-0.05713,-0.64786,-0.29129,0.00468,-0.33549,0.12448,0.05738,-0.10928,0.31977,0.0391,0.00377,0.27134,-0.30258,0.00386,0.29975,0.09064,0.31498,-0.29306,0.023,0.54944,0.11254,-0.11525,-0.03394,-0.23627,0.12372,0.19162,0.00079,0.05173,-0.02934,0.10768,-0.243,0.21192,-0.34932,0.03162,-0.09237,-0.03736,0.09758
SIDM00637,-0.07725,0.79162,-2.01535,0.28056,0.65745,0.11607,0.25801,-1.39038,-3.69607,1.58129,-0.11582,-0.08973,-0.34844,-0.03067,0.10233,-0.12673,0.10394,-0.00459,-0.07234,0.31737,0.03279,0.0256,0.08351,0.29314,0.1751,0.01484,-0.09731,-0.1341,-0.34998,-0.00134,0.0066,0.11125,-0.00777,0.11659,0.0196,-0.10256,0.0408,0.10893,1.33127,0.1307,-0.04228,0.41247,-0.04415,-0.31631,0.30439,-0.20128,-0.02445,-0.27337,-0.01938,0.12728,-0.16678,0.08145,-0.07101,0.02059,-0.07781,0.06654,0.04105,0.05713,-0.09983,-0.05144,-0.06188,0.23281,-0.32575,0.01153,-0.03194,0.01437,0.06421,-0.18905,-0.11519,0.06337,0.14936,-0.08263,0.2358,-0.21683,0.1122,0.26684,-0.17823,-0.00752,-0.03907,-0.05704,0.12411,0.11484,-0.06641,-0.05484,-0.07696,-0.10534,0.0612,-0.06654,-0.03024,0.0356,-0.06521,0.19667,0.00031,-0.05933,0.01918,-0.02723,0.12635,0.00836,0.03429,-0.05102
SIDM00410,1.2838,-0.46406,2.41707,0.33697,-1.26816,-0.43129,-0.25617,0.01344,-0.78914,-3.25953,0.07662,-0.17956,0.79933,0.30784,-0.16633,-0.03899,-0.96484,1.62693,0.39463,0.82234,-0.50603,-0.00231,-0.02373,0.73414,0.23023,0.1206,-0.11503,0.5999,0.27569,0.61352,-0.17746,0.03179,-0.08053,0.24369,-0.04863,-0.58893,-0.35578,-0.61437,-0.24266,1.34764,-0.14117,-0.66204,-0.28336,0.55078,0.13544,-0.24683,-0.0806,-0.03232,-0.10536,0.43538,0.05079,0.19685,-0.23562,0.03623,-0.04038,0.29393,0.27262,0.05978,-0.09602,-0.09573,-0.02256,0.19572,0.2048,0.32177,-0.35683,-0.24904,0.08178,0.08404,-0.09475,-0.53854,-0.13824,-0.53348,0.10195,0.12428,0.08377,0.16325,-0.55991,0.0535,-0.09333,-0.11186,0.10542,0.10861,0.19935,-0.24462,-0.01356,-0.18752,0.38526,0.0562,-0.08717,-0.16272,0.16585,0.03717,0.03348,-0.15398,-0.15395,-0.00564,-0.16546,-0.35306,0.1343,-0.09236
SIDM00657,-0.95908,-0.70073,-0.0785,-0.54414,1.43155,0.21705,0.01283,1.7635,3.07332,0.56298,-0.0533,0.35721,0.91862,0.25631,0.16041,0.35782,-0.14678,-0.04808,-1.28346,0.08213,-0.29092,0.2377,0.00722,-0.15629,0.03554,-0.05976,0.05891,-0.78586,-0.11034,-0.14903,0.9242,-0.24348,-0.00352,0.18315,-0.06564,-0.00649,0.08598,0.02181,-0.46633,-0.9967,-0.19187,-1.04688,0.19315,0.53056,0.2528,-0.0342,0.09355,0.14524,-0.05687,0.89607,-0.24948,-0.14711,0.14561,-0.18316,0.20047,-0.24236,-0.10214,0.02106,-0.10766,-0.06838,0.05565,-0.05206,-0.47734,-0.17317,0.58307,-0.16765,0.03279,-0.00158,-0.04975,0.06914,0.00904,-0.08349,-0.31404,-0.10169,0.16822,-0.23811,0.17732,0.06902,0.05243,0.20745,-0.08515,0.01871,0.00733,0.04198,0.09503,-0.2226,0.07197,-0.06648,0.13393,-0.15696,-0.22971,-0.21485,0.0241,0.11863,0.05604,0.05902,0.31744,-0.01963,0.0281,-0.00476
SIDM00364,-0.07545,-0.19292,-0.96469,-0.14307,0.46947,-0.12859,-0.00428,0.94763,-0.37456,1.8997,0.14506,-0.19191,-2.03243,0.10524,0.00924,-0.20723,-0.25073,-0.58343,0.01808,-0.60508,1.04836,-0.17512,0.29537,-0.21441,-0.3425,0.04077,-0.1707,0.30281,0.50736,0.09619,-0.21896,0.07888,0.15366,-0.15261,0.34142,0.43283,-0.06548,-0.03672,0.69205,-0.30857,0.18338,-0.20427,0.08466,0.25226,-0.22578,0.21105,0.17733,0.08394,-0.00016,-1.9431,0.02873,-0.02475,0.26136,0.01619,-0.20157,0.06534,-0.32333,-0.00268,0.13369,0.22782,-0.09124,0.07104,0.17607,0.06354,0.18213,-0.05294,-0.01469,0.0694,-0.04772,-0.05756,0.10244,0.31462,0.1617,0.56509,0.07453,-0.17566,-0.22733,-0.04141,-0.03929,0.05025,-0.27107,-0.07995,0.22605,0.18814,0.08781,0.13479,0.33534,-0.08936,-0.00377,-0.03935,-0.17568,-0.00259,-0.04906,-0.12705,-0.06851,0.13373,-0.23633,-0.05326,-0.06322,-0.00942
SIDM00813,-0.27204,0.00269,0.14106,0.65809,-1.03135,-0.16027,0.14251,-1.4061,1.64378,0.35311,-0.21894,0.01486,1.63225,-0.00331,0.06376,-0.10536,0.10273,0.14487,-0.04547,0.42959,-0.1025,0.36454,0.1582,-0.26756,0.0527,-0.22316,0.21043,3.13741,-0.6574,-0.50467,0.18575,-0.41499,0.08492,-0.04532,-0.46346,0.03973,0.31559,0.15797,-0.92204,-0.19227,-0.01802,-0.62626,0.15716,-0.33156,0.25334,0.00424,0.02708,0.2417,0.34641,-1.124,-0.08979,-0.06754,-0.02535,0.20151,0.13502,0.06556,0.02185,0.06312,0.0258,-0.21722,0.00907,-0.19801,0.48195,0.72564,-0.01007,0.00549,-0.02515,0.04314,-0.06887,-0.00548,0.27287,0.11007,-0.15192,-0.02557,0.02788,0.07109,0.02265,0.00548,0.13479,0.03972,0.05103,0.35039,-0.17638,0.07993,0.0243,-0.01381,-0.14155,-0.01812,-0.08389,0.10319,-0.01538,-0.21859,-0.12516,0.06989,0.5256,0.01087,-0.13357,-0.06893,0.09397,0.02696
SIDM00283,-0.47344,0.97814,-1.25576,-0.01627,0.6074,1.35996,0.242,-1.39712,-3.08363,0.57692,0.01735,-0.12737,-0.67415,-0.04895,0.05683,0.0531,0.36206,-0.10815,-0.09578,0.23504,-0.09522,-0.0282,-0.01914,0.24195,-0.0869,0.00274,0.1735,0.09096,-0.00823,0.36602,0.51885,0.20154,0.11009,0.03919,0.17858,-0.07041,-0.11115,0.0501,0.22466,0.34383,0.02802,-0.14188,-0.12859,-0.25696,-0.28492,0.03673,-0.07997,-0.2078,-0.24448,0.78349,0.17687,-0.02351,0.09009,-0.11715,-0.0222,0.09467,-0.17219,-0.09175,0.11292,0.12243,0.07883,-0.21953,0.09504,-0.38022,0.18906,0.18415,-0.07805,-0.07249,-0.07269,-0.01755,-0.26959,-0.01082,-0.33692,0.23135,-0.17346,-0.46128,0.3351,0.00803,0.14388,0.0393,-0.03864,-0.26868,0.06958,0.03911,0.00449,0.1687,-0.31447,-0.03246,-0.04096,0.206,0.20827,-0.00232,-0.00953,-0.07042,-0.18047,-0.01065,-0.05132,-0.03107,0.11378,0.15104
SIDM01023,-1.09905,-0.89068,-0.25444,-0.29577,0.91113,-0.77003,0.05083,1.32381,3.224,-0.07738,-0.0758,0.51253,1.01164,-0.18226,0.14472,-0.28065,0.03073,-0.49723,-1.02083,-0.3661,-0.44652,-0.13754,0.06125,-0.29395,-0.14696,0.08124,0.01696,-0.9933,-0.05657,0.01699,-1.06802,0.11221,0.06059,-0.04728,0.48873,-0.32128,-0.21943,0.03566,-0.62802,-0.97786,-0.00706,-0.75485,0.00664,0.11374,0.24597,-0.20721,-0.03964,0.11177,-0.08228,0.72248,0.03387,-0.08095,0.17351,0.00958,0.04617,-0.04721,-0.0648,0.05963,0.0121,-0.08079,-0.06723,-0.21548,-0.51069,1.05195,-0.01615,0.14415,0.01744,-0.07856,0.0054,0.02125,0.02,0.30954,0.11605,0.09033,-0.05046,0.05875,0.13008,0.02698,0.07431,0.17106,0.01712,-0.00321,0.00499,0.10232,0.02539,-0.06787,0.30296,-0.06987,0.12967,-0.06585,-0.00644,0.02987,-0.023,0.12088,0.08325,-0.03293,-0.03791,-0.07708,-0.06013,-0.05382
SIDM00313,0.57905,0.23569,1.46469,-0.15141,-1.05514,-0.21187,0.0474,-1.08705,0.92541,-3.37465,-0.0195,-0.24237,2.54644,-0.00235,0.09238,0.4417,0.5995,0.63838,0.34626,-0.29671,-0.3322,-0.18954,-0.07438,0.11692,0.02632,-0.03701,0.4907,2.97902,0.65267,0.14273,-0.35351,0.38282,-0.11869,-0.13173,-0.15854,-0.50972,0.10165,0.10647,-0.53032,0.44968,0.122,-0.17981,0.27435,-0.71348,-0.76381,-0.13527,-0.20163,0.17689,-0.32609,1.11441,0.45898,-0.22144,0.40154,-0.01409,-0.08065,-0.22207,-0.21747,0.10885,-0.09224,-0.06154,0.06394,0.22955,-0.07418,0.95142,-0.61567,-0.04962,0.05032,0.02752,0.14621,-0.31857,-0.36722,0.11515,0.00685,-0.10366,0.13215,0.08231,0.35784,-0.12052,-0.03891,-0.20149,0.17278,-0.37476,0.02605,0.22415,-0.05024,0.1906,0.03585,0.04033,-0.05636,0.06522,-0.42483,-0.16502,-0.06356,0.22089,0.01298,-0.12318,0.2513,0.09086,0.02088,0.08931
SIDM01020,0.09396,0.09212,0.38311,0.57352,-1.02221,0.79842,-0.2555,-0.89772,-0.87612,-0.0409,0.03341,0.08754,1.28118,-0.14662,-0.00721,0.80543,0.71713,0.97349,-0.06713,-0.69738,0.26378,-0.40522,-0.11579,-0.03405,0.27537,0.04632,-0.37727,-2.69814,-0.08133,-0.11322,0.67784,-0.11011,-0.06825,-0.29559,0.0885,0.4014,0.39448,0.05802,-0.52068,1.11568,0.21172,-0.39382,0.19653,0.56612,-0.47074,0.36316,-0.0448,-0.12932,-0.40505,0.33098,-0.23097,0.03654,0.38501,-0.06393,0.21083,-0.05674,-0.21733,-0.03215,0.01149,-0.05861,-0.08827,-0.32318,0.2575,-0.52849,-0.63845,0.48046,0.06175,0.0581,0.0645,-0.1747,-0.02862,-0.09509,0.03798,0.01507,-0.03278,-0.20512,0.33661,-0.08311,-0.05988,-0.09019,-0.08113,-0.27921,-0.48475,-0.05706,-0.09548,0.15665,0.22346,0.1436,-0.01105,0.06195,0.43505,0.01359,-0.0143,-0.00517,-0.08722,-0.09086,-0.09537,0.37014,0.06199,0.16094
SIDM00363,0.62029,-1.3459,1.86181,-0.08249,-0.40195,-0.83498,-0.34588,2.16277,2.34407,-0.36107,0.22561,0.29022,-1.07941,0.02413,-0.06131,0.68684,-0.4424,0.34123,-0.57558,-0.05352,-0.16394,0.03592,0.00249,0.12393,0.20797,-0.14308,-0.20068,-0.65044,-0.25775,-0.03846,-0.22318,0.62257,-0.08431,-0.2903,-0.90409,0.12573,-0.38267,-0.00378,-1.76027,0.21514,0.15938,-0.62456,0.28468,-0.0866,0.10987,0.35883,-0.31316,0.30523,-0.14046,0.70216,0.39444,-0.14832,0.27946,0.1353,-0.20568,0.28067,-0.01931,0.18449,0.01397,0.12601,0.03228,0.16132,-0.81131,0.56183,-0.15563,-0.1611,-0.00604,-0.1889,0.03646,0.12354,-0.07518,-0.12966,-0.06625,0.35185,-0.25325,-0.03261,-0.23333,-0.14042,0.06077,-0.10092,-0.11053,-0.3923,0.14178,0.05474,0.13492,0.50807,0.29614,-0.01532,-0.24871,-0.15991,0.04281,0.05629,-0.00783,-0.01557,0.01934,0.08064,-0.00563,0.1486,0.01245,-0.09828
SIDM00403,0.97136,-0.08167,0.52164,-0.93843,0.03126,0.4806,-0.12126,2.07439,1.43122,-0.13402,0.2393,-0.0283,-2.1399,-0.47848,-0.12589,-0.47956,-0.42792,-0.71942,1.76128,-0.59824,-0.08186,-0.05007,-0.15609,-0.01897,-0.21438,0.05301,0.00245,-0.42757,-0.18076,0.12271,1.43854,0.13033,0.01412,-0.1057,-0.24186,0.24603,-0.20278,-0.21473,0.94302,-0.4015,-0.05985,0.08926,-0.08633,-0.19905,0.02594,0.21043,0.07452,0.12455,-0.07759,0.0883,0.0291,0.01095,-0.39397,-0.04416,-0.04305,0.07089,0.04246,-0.05996,-0.08668,0.05437,0.06132,0.02204,-0.32453,0.1785,-0.08728,-0.13261,-0.05962,-0.10703,0.14471,-0.14078,-0.08918,0.07091,-0.23353,-0.22598,-0.0104,-0.18527,-0.07152,-0.19961,0.0364,0.04209,-0.08199,-0.099,0.28225,-0.14217,0.00639,-0.01819,0.05606,0.02951,0.16637,-0.18794,-0.03089,0.11464,-0.06128,-0.03002,-0.04159,0.0287,0.07548,0.02826,-0.11791,0.07665
SIDM00424,0.48948,0.59147,-0.94812,0.12923,0.33206,0.39759,0.04876,-0.9782,-4.36557,1.50865,0.05541,-0.03796,-1.38633,0.14728,-0.06181,0.31162,-0.13963,0.62014,-0.06629,0.60313,0.15269,-0.4538,0.13544,0.80149,0.28461,-0.04793,-0.2497,-1.08363,-0.2374,0.12302,0.95791,0.54973,-0.11866,0.06503,-0.75853,-0.01428,-0.11499,0.02906,1.48525,0.85996,0.0636,0.68791,0.07496,0.06613,0.01574,-0.1191,-0.23553,-0.0044,0.07058,0.15215,-0.10464,0.00611,0.23191,-0.13625,-0.09174,0.32996,0.3033,0.05533,-0.0102,0.00782,-0.12309,0.03834,-0.38208,-0.04248,-0.13655,0.30621,0.10057,-0.05731,0.21065,-0.03567,0.15332,0.26287,0.05515,0.23975,-0.01978,0.0553,0.04658,0.12447,0.01352,0.05662,0.08753,-0.06835,0.01848,0.15161,-0.06059,-0.04646,-0.21064,-0.08305,0.07176,-0.0505,0.18425,0.1284,-0.00052,-0.10474,-0.0039,-0.02964,-0.06772,0.28804,0.08297,0.1383
SIDM01154,0.91399,-0.09079,-0.21794,-0.39059,0.14881,0.24629,-0.14082,1.34212,-0.43332,0.27805,0.18655,-0.02833,-1.82547,-0.12514,-0.00204,-0.00713,-0.22476,-0.34495,1.71003,0.02293,-0.28725,-0.035,-0.04543,0.09911,0.10088,0.06695,-0.24888,-0.74903,-0.0844,0.20417,1.107,0.15354,0.04227,-0.1198,-0.16143,0.04961,-0.22112,-0.11507,1.2986,0.03012,0.00847,-0.12423,0.01918,-0.06352,0.02509,0.19414,-0.04001,-0.09565,-0.12277,0.36553,0.16145,0.00972,-0.07276,-0.17199,-0.01411,0.20728,0.11207,0.06361,0.07898,0.14314,0.05821,-0.0853,-0.34166,-0.68043,0.15145,0.03669,-0.12731,-0.13803,0.12448,-0.0632,-0.01914,0.36421,-0.11965,0.08745,-0.04396,-0.16281,-0.06774,-0.06109,0.03566,-0.06237,0.05322,-0.07197,0.08161,-0.17467,0.1083,0.0623,0.1738,-0.00046,0.08954,-0.0921,-0.22604,-0.03508,-0.09052,0.00777,-0.23093,0.11817,0.01467,-0.00115,-0.03021,0.13809
SIDM00448,-0.26035,0.84115,0.32021,0.09128,-0.55961,1.97805,0.1047,-1.50003,-1.26474,-1.95612,-0.09769,-0.20903,1.18438,0.24466,0.04923,-0.09378,0.38067,0.20968,0.09937,0.24741,-0.35608,-0.15875,0.00617,0.21629,-0.11215,-0.14611,0.09744,2.04108,0.05609,0.12712,-0.13702,0.19386,0.04681,0.00231,0.71233,-0.32215,-0.15285,0.09007,0.23824,0.64285,0.14645,-0.448,-0.0983,0.1397,-0.6266,-0.08701,-0.2364,-0.10804,-0.21494,0.80543,0.15336,-0.05837,0.51763,-0.19268,0.11898,-0.0347,-0.08933,-0.04838,0.04168,0.00986,-0.02247,-0.19744,0.49209,0.13412,0.01828,-0.07376,-0.03148,0.22164,-0.06903,0.0509,-0.12102,0.15221,0.10313,0.22369,-0.112,-0.04431,0.47963,0.01556,-0.09684,-0.0079,0.00487,-0.31993,-0.0392,0.24209,-0.0913,0.06061,-0.12284,0.01085,0.08911,0.13635,-0.27866,-0.111,-0.04185,0.10591,0.08279,-0.15487,0.15589,0.07273,-0.05769,0.03525
SIDM00958,0.63724,0.4684,0.17829,-0.81523,-0.35463,-0.19491,-0.02675,1.3568,1.86058,0.95191,0.11854,-0.13691,-1.29075,-0.01357,-0.14418,-0.00932,0.07695,-0.7684,1.59601,0.14831,0.00159,0.02457,-0.11754,-0.06087,0.12419,-0.08634,-0.13152,-0.61265,-0.08932,0.05726,0.50783,0.4912,-0.07833,0.04761,0.40353,-0.06535,-0.26451,-0.05632,-0.60191,-0.41808,-0.09746,-0.11979,0.0364,0.00199,0.02329,-0.20297,0.05838,0.35793,0.02227,0.28403,0.05706,-0.0811,-0.17445,-0.17786,0.02982,0.03922,0.08595,-0.03107,0.03135,-0.00581,-0.02031,-0.09994,-0.19713,-0.08741,0.45501,-0.04885,-0.01151,0.00654,-0.12389,0.05751,-0.04045,-0.04187,-0.16511,-0.01344,-0.09135,0.0687,0.11821,0.04228,-0.09972,0.02082,0.0445,-0.10255,0.0339,0.03826,0.10354,0.06285,-0.04862,-0.03008,-0.00308,-0.09537,-0.0032,-0.02596,0.08744,0.12576,-0.00519,0.02702,-0.06559,-0.09021,0.05817,-0.03553
SIDM00981,-0.39429,1.46814,-1.83544,-0.20181,0.86873,0.00171,0.44756,-1.42982,-3.02442,1.43966,-0.04679,-0.33691,-0.59081,-0.05857,-0.12956,-0.28125,0.02003,-0.2032,-0.34303,0.31697,0.09926,-0.06444,-0.07611,0.28512,0.11256,-0.01501,0.07833,0.1499,-0.16271,0.09052,0.00774,0.60462,-0.04757,0.1229,0.07696,0.01053,0.06656,0.06013,1.14793,-0.36348,-0.01502,0.50664,0.04695,-0.1632,0.15519,-0.02529,0.02311,-0.0046,-0.08106,0.58699,-0.02692,0.08752,-0.27443,-0.30575,0.07555,0.05153,0.00115,0.06309,0.03262,0.00603,0.0698,0.13559,-0.10217,0.12939,-0.05945,-0.04372,-0.00362,-0.15801,-0.01582,0.07689,-0.07013,-0.1016,0.14556,-0.4226,-0.03432,0.2953,-0.04227,0.01697,-0.06081,0.09704,0.07384,0.03631,0.14479,-0.03055,0.14275,-0.00716,0.08986,-0.0854,0.03154,-0.00646,-0.00061,0.03487,0.05922,-0.0092,-0.01369,0.23786,0.06782,0.02993,0.0881,-0.10539
SIDM00580,-0.72492,-0.71865,0.87727,-0.28958,0.14362,-1.35906,0.06186,1.20828,4.22597,0.66849,-0.06029,0.27878,0.5298,0.09513,0.06828,0.42119,0.02931,-0.39907,-1.08627,-0.31468,-0.2414,0.1883,0.00794,-0.27401,0.03632,0.00761,0.16039,-0.46942,-0.1951,-0.08537,0.13462,0.02646,0.15674,0.05324,0.37987,-0.34947,-0.11333,0.03644,-1.2787,-0.72175,0.05799,-0.8831,0.1834,-0.06052,0.2217,-0.04606,0.02949,0.25327,-0.24535,0.95895,-0.03247,-0.07367,0.0743,-0.10123,0.06324,-0.04194,0.22583,0.09656,-0.05443,0.02312,-0.02565,0.00191,-0.67026,0.36801,0.07136,-0.04579,0.03621,-0.01338,0.2346,-0.08003,0.07035,-0.09345,-0.0274,0.07741,0.01734,-0.12152,-0.03975,-0.02701,-0.03751,0.2498,0.0183,0.08479,0.1016,-0.02223,0.14941,-0.04321,0.18341,-0.03486,0.07206,-0.03112,-0.04091,-0.07183,-0.10464,-0.02231,-0.08072,-0.02336,-0.08626,-0.08776,-0.0291,0.02389
SIDM00844,0.40591,0.89354,-0.47673,0.08055,0.37705,0.45751,0.15275,-1.29979,-4.06406,-0.05988,-0.06889,-0.26294,-0.42546,0.00148,-0.02871,-0.14674,-0.36451,0.70501,-0.13903,0.42164,-0.21433,-0.18497,0.00165,0.64737,0.37104,-0.08788,-0.02534,0.29155,-0.39936,0.06992,0.06405,0.22253,-0.0052,0.10922,-0.12444,-0.18869,-0.04665,-0.12697,0.89283,0.61673,-0.09253,0.33024,0.03086,-0.1743,0.03391,-0.21593,-0.20545,-0.33583,-0.16981,0.73038,-0.00683,0.07901,0.06259,-0.08173,-0.10394,0.0697,-0.08412,-0.023,-0.08902,-0.14723,-0.0361,0.05576,-0.17109,-0.14297,0.20472,0.10754,0.04172,0.16397,-0.04767,0.04043,-0.00962,0.01813,-0.57241,-0.28536,0.03274,0.19587,-0.22114,-0.17715,-0.05375,-0.1917,0.10868,0.04463,0.25089,-0.03827,-0.08879,0.07409,-0.14168,-0.07728,-0.05499,-0.0171,-0.07851,-0.02031,0.02161,-0.05692,-0.02247,0.10963,0.1023,0.04496,-0.0266,-0.04386
SIDM01048,0.49782,-0.60081,0.69072,1.1142,-2.50351,-0.13384,-0.23682,-1.06395,0.85488,-0.68914,0.05165,0.18185,1.71656,-0.36349,0.08125,0.1976,0.32852,0.78094,0.08267,-1.3947,0.36555,-0.24593,0.0168,-0.31193,0.04854,0.20232,0.32688,-2.04434,-0.26406,-0.06162,-0.83806,-1.18168,-0.04759,-0.1636,-0.51665,0.07348,-0.34497,-0.09776,-0.40601,1.29556,-0.05295,-0.11924,-0.08579,-0.15974,0.05456,0.3384,-0.01455,-0.18007,0.60839,-0.43706,-0.31056,-0.26601,0.17405,0.04047,0.12763,-0.20496,0.22718,0.22545,-0.08417,-0.22934,0.08589,-0.28809,0.04794,0.02448,-0.64225,0.44868,-0.05173,0.26894,0.02271,-0.1961,-0.29392,0.1534,0.2539,-0.25777,-0.24284,-0.21077,0.31998,0.02634,-0.06347,0.31872,0.12115,0.00165,-0.27174,-0.02873,0.09342,0.10881,0.11886,0.13498,-0.02549,-0.09841,-0.03922,0.15545,0.24391,0.5118,0.01088,0.03097,-0.31502,0.08153,-0.18061,-0.0437
SIDM01008,-0.42022,0.7783,-2.01273,0.28076,0.68253,0.1067,0.38591,-1.66413,-3.78236,0.84014,-0.05583,-0.11586,0.12864,0.13123,0.03021,0.30476,0.33717,-0.16892,-0.23996,0.42048,-0.31012,0.05343,0.00508,0.29552,-0.13934,0.04254,-0.08102,0.2232,-0.03467,0.22543,0.24792,0.20629,0.07003,-0.11369,-0.12818,0.3798,-0.16789,0.10736,-0.2974,0.02427,0.13382,0.42081,0.00333,-0.29905,0.01411,0.2776,-0.09427,0.27476,0.01703,0.94825,0.01827,0.3692,0.02497,0.15108,-0.10971,0.16138,0.03074,0.05274,0.04048,-0.05017,0.16918,0.19478,-0.45895,-0.21882,-0.21733,-0.17648,-0.00997,0.23756,0.07776,0.05361,0.04295,-0.12768,0.06346,-0.02145,-0.06958,0.32508,-0.27472,0.00369,0.21681,-0.16698,-0.02088,-0.08927,-0.04853,-0.07249,0.05171,0.136,0.28872,0.0495,-0.33884,0.01251,-0.25295,-0.35408,-0.0909,0.12916,0.14753,-0.05313,0.34643,0.07745,-0.19845,-0.00719
SIDM01265,0.01795,0.18342,0.03948,0.52317,-1.25724,-0.53973,0.01695,-1.04479,1.12205,-2.99809,0.21845,-0.21108,1.16654,-0.56443,0.02519,-1.5422,0.50435,-0.66564,0.10224,-2.2888,0.18586,0.01933,0.07621,-0.9309,-0.11005,0.20912,0.52111,-2.53073,-0.25145,-0.30996,-0.34288,-1.10311,-0.01539,0.30778,-0.39046,-0.40081,-0.05759,-0.13336,-0.39523,0.86035,-0.01111,-0.20177,-0.27165,0.80435,-0.1477,0.04678,0.07348,-0.36745,-0.12452,-0.47149,-0.11455,-0.08139,0.10763,0.22542,-0.03366,-0.56757,-0.14048,0.23422,-0.11265,-0.19359,-0.04308,0.23244,-0.00957,0.18525,-0.21174,0.05974,0.02124,-0.16846,-0.22913,0.24255,-0.13918,-0.00511,-0.09283,-0.10802,0.088,0.00684,0.08577,-0.07326,0.07721,0.27038,-0.0196,0.1473,0.17428,0.40753,-0.14185,0.0304,-0.17226,0.05958,0.21253,0.09308,-0.09176,0.03921,0.11773,-0.13479,-0.11085,-0.03137,-0.23397,0.0915,-0.15795,0.05686
SIDM01036,0.15172,-0.5934,0.33413,0.81901,-1.37396,0.18592,-0.19084,-0.74518,1.13423,-0.95914,0.00712,0.13018,2.01683,-0.28729,0.09789,-0.22672,0.47428,0.17193,0.04589,-0.86635,0.2518,-0.21806,0.07484,-0.58446,0.0315,0.26025,0.16011,-1.96964,-0.12449,0.08164,0.27635,-1.0219,0.03857,0.11202,-0.35981,0.03208,-0.04277,0.02442,-0.32958,0.44975,0.03458,-0.31251,-0.07573,0.18648,0.07008,0.10291,0.00528,-0.28168,0.15184,-0.73457,-0.05336,-0.02173,0.44379,0.15639,-0.21965,0.20416,-0.11324,-0.11001,-0.08263,-0.04883,0.05867,-0.00163,0.38338,0.09707,-0.7752,0.66017,0.00677,-0.02739,-0.0585,-0.16658,-0.14684,0.16651,0.1229,-0.47081,0.07305,0.08802,-0.20715,0.04345,-0.10481,0.13432,0.0397,-0.02318,-0.31121,-0.09934,-0.18172,-0.19664,-0.16985,0.07831,0.0676,0.05283,-0.21483,0.34352,-0.15946,0.13241,-0.03778,-0.06666,-0.27473,-0.10174,0.07016,-0.02931
SIDM00096,-0.50579,-0.01303,1.33318,-0.01951,0.32763,0.96389,-0.11737,-0.24117,0.51262,-3.7565,-0.11447,-0.04874,2.82565,0.36301,-0.08803,-0.1271,-0.03645,0.42707,0.25044,1.31062,-0.59097,0.24614,0.00807,-0.06602,0.14643,-0.28251,-0.32814,0.67164,1.46778,-0.59492,0.14591,-0.26329,-0.07015,0.02655,-0.10153,-0.6686,0.01354,-0.0179,-1.4793,-0.59356,-0.20294,-0.52347,0.08228,-0.04876,0.91946,0.0072,0.11276,-0.35919,0.05426,-0.34809,-0.36872,0.35576,-0.39172,0.21869,0.04178,-0.03705,0.22096,0.09976,0.06938,-0.1938,-0.03154,-0.26045,-0.07092,1.01733,0.17133,0.27512,0.00983,-0.19419,-0.16212,0.23609,0.17739,-0.13264,0.17268,0.02992,0.00309,0.19313,-0.03368,0.09752,0.06892,0.01088,0.009,0.22483,0.008,0.04126,0.08548,-0.08704,-0.23897,-0.06002,-0.03857,-0.01547,0.13725,-0.15574,-0.01823,-0.0051,-0.07759,-0.00406,-0.10215,0.11409,0.03165,-0.17279
